"osm_id","name","road_type","surface","length_km","speed_kmh","cost_per_tkm","volume_tonnes","classe_trafic","volume_camionnette","volume_camion_moyen","volume_camion_lourd","part_camion_lourd","vol_t_Agriculture","vol_t_Mines","vol_t_Agro_industrie","vol_t_Industrie","vol_t_Construction","vol_t_Commerce","vol_t_Transport","vol_t_Services"
"25796127","KN 4 Avenue","secondary","paved",0.127091507461279,37.5,0.0819427133302633,357461.275058469,"Très élevé",0,0,357461.275058469,100,12611.4834041929,21605.9191130941,114901.32289158,97219.0664387667,39752.2212294506,50756.6501419785,15704.0032852181,4910.6085541878
"25796128",NA,"secondary","paved",0.795881805295925,45,0.0734444444444445,986.878810846726,"Faible",0,0,986.878810846726,100,91.6133151398635,130.51349679552,263.806373513924,139.789141697717,54.4858642144366,213.750694484763,52.0112027449358,40.9087222555656
"25796128",NA,"secondary","paved",0.576182804167762,50,0.0711320627876838,986.878810846726,"Faible",0,0,986.878810846726,100,91.6133151398635,130.51349679552,263.806373513924,139.789141697717,54.4858642144366,213.750694484763,52.0112027449358,40.9087222555656
"25796128",NA,"secondary","paved",0.41987768901838,50,0.0706666666666667,986.878810846726,"Faible",0,0,986.878810846726,100,91.6133151398635,130.51349679552,263.806373513924,139.789141697717,54.4858642144366,213.750694484763,52.0112027449358,40.9087222555656
"25796136",NA,"primary","paved",1.26518025274866,60,0.0665,23586.6454333835,"Moyen",0,0,23586.6454333835,100,4692.95226011056,656.514304647687,5341.17888509561,1755.07861278396,6933.52008425976,3619.89471134332,420.148700720555,167.35787442207
"25796136",NA,"primary","paved",0.45646978903296,60,0.0665,1673.22723230047,"Faible",0,0,1673.22723230047,100,192.02749506748,173.546301426845,453.380511944713,208.830402364856,132.2469261939,379.937068982698,76.7061329197731,56.5523934002024
"25796136",NA,"primary","paved",0.298397880803119,54,0.070492460203694,1673.22723230047,"Faible",0,0,1673.22723230047,100,192.02749506748,173.546301426845,453.380511944713,208.830402364856,132.2469261939,379.937068982698,76.7061329197731,56.5523934002024
"25796139",NA,"trunk","paved",0.0415404617403133,60,0.0606666666666667,41923.8479363028,"Élevé",0,0,41923.8479363028,100,5636.35436785543,4783.55768742064,10594.3474541905,6112.08346551527,3747.50126859926,8360.73854868608,1680.05009470087,1009.21504933478
"25796139",NA,"trunk","paved",2.00658377240901,60,0.0606666666666667,43529.2937929665,"Élevé",0,0,43529.2937929665,100,5989.30662756536,4905.94772416642,10927.039026563,6215.16245121212,3939.52973901743,8776.87811511213,1723.19382485217,1052.23628447785
"25796139",NA,"trunk","paved",0.610739251567173,60,0.0606684430765931,43529.2937929665,"Élevé",0,0,43529.2937929665,100,5989.30662756536,4905.94772416642,10927.039026563,6215.16245121212,3939.52973901743,8776.87811511213,1723.19382485217,1052.23628447785
