id_origine,id_destination,nom_origine,nom_destination,cout_usd,distance_km,temps_h,vehicule_depart,vehicule_arrivee,n_transbordements
1,2,Nyanza,Kabarondo (OSM),7.673411884323375,149.94364776008328,4.045635908568567,camion_lourd,camion_lourd,0
1,3,Nyanza,Gikonko (OSM),1.1440719694110353,23.721091879534082,0.6019504339526689,camion_lourd,camion_lourd,0
1,4,Nyanza,Muhororo (OSM),1.2237169112104485,25.61073712136386,0.6481105644505014,camion_lourd,camion_lourd,0
1,5,Nyanza,Save (OSM),1.3183696342661277,27.96607599600548,0.7000302741678086,camion_lourd,camion_lourd,0
1,6,Nyanza,Rwamagana (OSM),6.894255756863773,145.51014202765953,3.799962775652422,camion_lourd,camion_lourd,0
1,7,Nyanza,Kayonza (OSM),7.539771823926248,161.08717350325202,4.128976968512927,camion_lourd,camion_lourd,0
1,8,Nyanza,Musanze - Centre Nord,7.25437196835585,131.07432568943784,4.036820715978923,camion_lourd,camion_lourd,0
1,9,Nyanza,Nemba (OSM),6.673865733528352,141.7548985775759,3.6072086359713795,camion_lourd,camion_lourd,0
1,10,Nyanza,Katuna (OSM),7.064622716972343,166.07330811004928,3.799640780674581,camion_lourd,camion_lourd,0
1,11,Nyanza,Karongi (OSM),5.339551363268875,80.96424891544474,2.949693661446358,camion_lourd,camion_lourd,0
1,12,Nyanza,Huye (Butare) - Centre Sud,1.789846786596015,37.000490772152574,0.9628258813561693,camion_lourd,camion_lourd,0
1,13,Nyanza,Gatsibo (OSM),9.223613975771,194.63359924838554,5.07264521238254,camion_lourd,camion_lourd,0
1,14,Nyanza,Byumba (OSM),6.226884509921163,145.1751579225238,3.3520454118942036,camion_lourd,camion_lourd,0
1,15,Nyanza,Kigali (OSM),4.487781597414633,98.85353396354475,2.371114085768121,camion_lourd,camion_lourd,0
1,16,Nyanza,Gasabo (OSM),4.869978823843806,107.01808257988795,2.642345455098044,camion_lourd,camion_lourd,0
1,17,Nyanza,Zone industrielle 17,4.309577891468564,86.68376803706778,2.4617818929549617,camion_lourd,camion_lourd,0
1,18,Nyanza,Zone industrielle 3,4.432866183105759,96.94175547793165,2.3867347481004004,camion_lourd,camion_lourd,0
1,19,Nyanza,Zone industrielle 4,4.281686209877215,95.4305103888978,2.243613920542924,camion_lourd,camion_lourd,0
1,20,Nyanza,Murindi (OSM),4.838840976916723,106.36726353510282,2.5866253496237106,camion_lourd,camion_lourd,0
1,21,Nyanza,Rilima (OSM),4.179805292039722,94.92138533571223,2.2796851545144317,camion_lourd,camion_lourd,0
1,22,Nyanza,Zone industrielle 18,3.2407488942899945,78.08169595512469,1.7545784432085951,camion_lourd,camion_lourd,0
1,23,Nyanza,Zone industrielle 19,3.1213529440533905,74.98050244248563,1.692554572955814,camion_lourd,camion_lourd,0
1,24,Nyanza,Ramiro (OSM),3.335084592962118,80.44350356892836,1.8018145954846687,camion_lourd,camion_lourd,0
1,25,Nyanza,Ngoma (OSM),6.47766579997701,125.73881630023169,3.402327282447951,camion_lourd,camion_lourd,0
1,26,Nyanza,Kibaya (OSM),7.503876422372634,145.48036080377076,3.994820812934941,camion_lourd,camion_lourd,0
1,27,Nyanza,Gikoro (OSM),6.345584513651629,132.1903072528474,3.540873923464976,camion_lourd,camion_lourd,0
1,28,Nyanza,Gahengeri (OSM),5.530615192621515,119.739349868609,2.9380306479971683,camion_lourd,camion_lourd,0
1,29,Nyanza,Nzige (OSM),6.323535693755312,128.7537458539324,3.5094889426500653,camion_lourd,camion_lourd,0
1,30,Nyanza,Nyakabuye (OSM),8.443426670302157,145.8787506654226,4.841669885281172,camion_lourd,camion_lourd,0
1,31,Nyanza,Miyove (OSM),7.017017355141153,153.23475046467905,4.030196633676129,camion_lourd,camion_lourd,0
1,32,Nyanza,Musambira (OSM),2.411106951742186,55.94692004381269,1.3138816676659348,camion_lourd,camion_lourd,0
1,33,Nyanza,Ruhango (OSM),0.7961391021380024,18.707000862536653,0.4053543607745669,camion_lourd,camion_lourd,0
1,34,Nyanza,Butamwa (OSM),4.405768395783347,95.1316112117079,2.378233753750062,camion_lourd,camion_lourd,0
1,35,Nyanza,Gisagara (OSM),2.2725120604713314,46.4753287565213,1.3499274940161194,camion_lourd,camion_lourd,0
1,36,Nyanza,Kigali - SEZ Masoro,4.514305613273811,100.48697505114072,2.4390857643915567,camion_lourd,camion_lourd,0
